Magnetic field grid: from Bext9 in jgg-maps.root, model of 9" extended coil
grid size, grid min, grid spacing, nominal field value:
51 23 101
-25 -11 -40
50.8 50.8 50.8
0.75000
Bx, By, Bz in T for all points, ordered in x, then y, then z:
-0.00734 0.00277 -0.00632 
-0.00833 0.00279 -0.00686 
-0.00932 0.0028 -0.00741 
-0.01075 0.00271 -0.00803 
-0.01225 0.0026 -0.00866 
-0.014 0.00244 -0.00925 
-0.01618 0.00219 -0.00979 
-0.0184 0.00189 -0.01058 
-0.02123 0.00146 -0.01109 
-0.02454 0.00089 -0.01134 
-0.02841 0.00019 -0.01131 
-0.03296 -0.00068 -0.01086 
-0.03835 -0.00174 -0.00976 
-0.04489 -0.00305 -0.00747 
-0.05284 -0.0047 -0.00345 
-0.06257 -0.00689 0.0033 
-0.07467 -0.01013 0.01432 
-0.09679 -0.01776 0.03124 
-0.13179 -0.03163 0.03681 
-0.15985 -0.04337 0.00851 
-0.17191 -0.04673 -0.00915 
-0.18951 -0.04986 -0.01456 
-0.21057 -0.05427 -0.01602 
-0.23318 -0.05738 -0.01608 
-0.25654 -0.06164 -0.01599 
-0.27869 -0.06504 -0.01487 
-0.2981 -0.06843 -0.01338 
-0.3145 -0.07108 -0.01117 
-0.3286 -0.07466 -0.0091 
-0.34018 -0.07567 -0.00661 
-0.34777 -0.07915 -0.00565 
-0.35559 -0.08035 -0.00513 
-0.36326 -0.08262 -0.00393 
-0.36692 -0.08401 -0.00466 
-0.37342 -0.08753 -0.00616 
-0.38109 -0.09134 -0.01213 
-0.38297 -0.10589 -0.04042 
-0.33607 -0.14047 -0.06054 
-0.29873 -0.1726 -0.03665 
-0.29262 -0.18925 -0.01695 
-0.29012 -0.19333 0.00236 
-0.29262 -0.18925 0.01695 
-0.29873 -0.1726 0.03665 
-0.33607 -0.14047 0.06054 
-0.38297 -0.10589 0.04042 
-0.38109 -0.09134 0.01213 
-0.37342 -0.08753 0.00616 
-0.36692 -0.08401 0.00466 
-0.36326 -0.08262 0.00393 
-0.35559 -0.08035 0.00513 
-0.34777 -0.07915 0.00565 
-0.34018 -0.07567 0.00661 
-0.3286 -0.07466 0.0091 
-0.3145 -0.07108 0.01117 
-0.2981 -0.06843 0.01338 
-0.27869 -0.06504 0.01487 
-0.25654 -0.06164 0.01599 
-0.23318 -0.05738 0.01608 
-0.21057 -0.05427 0.01602 
-0.18951 -0.04986 0.01456 
-0.17191 -0.04673 0.00915 
-0.15985 -0.04337 -0.00851 
-0.13179 -0.03163 -0.03681 
-0.09679 -0.01776 -0.03124 
-0.07467 -0.01013 -0.01432 
-0.06257 -0.00689 -0.0033 
-0.05284 -0.0047 0.00345 
-0.04489 -0.00305 0.00747 
-0.03835 -0.00174 0.00976 
-0.03296 -0.00068 0.01086 
-0.02841 0.00019 0.01131 
-0.02454 0.00089 0.01134 
-0.02123 0.00146 0.01109 
-0.0184 0.00189 0.01058 
-0.01618 0.00219 0.00979 
-0.014 0.00244 0.00925 
-0.01225 0.0026 0.00866 
-0.01075 0.00271 0.00803 
-0.00932 0.0028 0.00741 
-0.00833 0.00279 0.00686 
-0.00734 0.00277 0.00632 
-0.00634 0.00276 0.00578 
-0.00571 0.00269 0.00535 
-0.00511 0.00261 0.00494 
-0.00451 0.00253 0.00453 
-0.00391 0.00245 0.00412 
-0.00352 0.00236 0.00381 
-0.0032 0.00226 0.00354 
-0.00287 0.00216 0.00326 
-0.00255 0.00206 0.00299 
-0.00223 0.00196 0.00272 
-0.00197 0.00187 0.00249 
-0.00181 0.00178 0.00233 
-0.00166 0.00169 0.00218 
-0.00151 0.00161 0.00202 
-0.00135 0.00152 0.00186 
-0.0012 0.00144 0.00171 
-0.00104 0.00135 0.00155 
-0.00093 0.00128 0.00143 
-0.00087 0.00122 0.00135 
-0.00081 0.00116 0.00127 
-0.0071 0.00373 -0.00625 
-0.00808 0.00386 -0.00681 
-0.00906 0.004 -0.00738 
-0.01049 0.00408 -0.00804 
-0.01198 0.00416 -0.00871 
-0.01374 0.0042 -0.00935 
-0.01591 0.0042 -0.00996 
-0.01815 0.00416 -0.01081 
-0.021 0.00404 -0.01142 
-0.02435 0.00385 -0.01178 
-0.02828 0.00356 -0.01188 
-0.03289 0.00316 -0.01157 
-0.03836 0.00264 -0.01065 
-0.04501 0.00194 -0.00862 
-0.05313 0.00098 -0.00499 
-0.06313 -0.00038 0.00106 
-0.07581 -0.00238 0.01058 
-0.10053 -0.00551 0.02525 
-0.14234 -0.00855 0.03037 
-0.17808 -0.0108 0.00512 
-0.19201 -0.01165 -0.01055 
-0.20988 -0.01154 -0.01518 
-0.23082 -0.01132 -0.01711 
-0.25319 -0.01055 -0.01745 
-0.27592 -0.01002 -0.01698 
-0.29651 -0.00933 -0.01568 
-0.31636 -0.00907 -0.0142 
-0.33269 -0.00889 -0.01235 
-0.34678 -0.0092 -0.01053 
-0.35973 -0.00929 -0.0082 
-0.36867 -0.01008 -0.00722 
-0.37785 -0.01051 -0.00637 
-0.38484 -0.01131 -0.00563 
-0.39202 -0.01214 -0.00613 
-0.4 -0.01377 -0.00843 
-0.40957 -0.01624 -0.01806 
-0.41222 -0.02379 -0.05922 
-0.34869 -0.04164 -0.08915 
-0.29399 -0.0598 -0.05606 
-0.28213 -0.07035 -0.02506 
-0.27878 -0.0735 0.00384 
-0.28213 -0.07035 0.02506 
-0.29399 -0.0598 0.05606 
-0.34869 -0.04164 0.08915 
-0.41222 -0.02379 0.05922 
-0.40957 -0.01624 0.01806 
-0.4 -0.01377 0.00843 
-0.39202 -0.01214 0.00613 
-0.38484 -0.01131 0.00563 
-0.37785 -0.01051 0.00637 
-0.36867 -0.01008 0.00722 
-0.35973 -0.00929 0.0082 
-0.34678 -0.0092 0.01053 
-0.33269 -0.00889 0.01235 
-0.31636 -0.00907 0.0142 
-0.29651 -0.00933 0.01568 
-0.27592 -0.01002 0.01698 
-0.25319 -0.01055 0.01745 
-0.23082 -0.01132 0.01711 
-0.20988 -0.01154 0.01518 
